id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
100,4,00,08,10,00,00,00,00,00
999,8,01,02,03,04,05,06,07,08
101,8,10,27,59,01,00,00,00,00
101,8,98,3A,59,01,00,00,00,00
101,8,38,31,52,03,00,00,00,00
100,8,00,02,E8,03,B0,04,06,00
100,8,00,08,E8,03,B0,04,07,01
100,8,00,08,E8,03,B0,04,07,03
100,8,00,08,E8,03,B0,04,07,04
100,8,00,08,E8,03,B0,04,07,05
100,8,00,08,E8,03,B0,04,07,06
100,8,00,08,E8,03,B0,04,07,07
100,8,00,08,E8,03,B0,04,07,08
100,8,00,08,E8,03,B0,04,07,09
100,8,00,08,E8,03,B0,04,07,0A
100,8,00,08,E8,03,B0,04,07,0B
100,8,00,08,E8,03,B0,04,07,0C
100,8,00,08,E8,03,B0,04,07,0D
100,8,00,08,E8,03,B0,04,07,0E
100,8,00,08,E8,03,B0,04,07,0F
100,8,00,08,E8,03,B0,04,07,10
100,8,00,08,E8,03,B0,04,07,11
100,8,00,08,E8,03,B0,04,07,12
100,8,00,08,E8,03,B0,04,07,13
100,8,00,08,E8,03,B0,04,07,14
100,8,00,08,E8,03,B0,04,07,15
